t,value
1663436342,4420000000
1663436343,4480000000
1663436344,4500000000
1663436345,4550000000
1663436346,7010000000
1663436347,8590000000
1663436348,10770000000
1663436349,13670000000
1663436350,14900000000
1663436351,18170000000
1663436352,18940000000
1663436353,21880000000
1663436354,22490000000
1663436355,22550000000
1663436356,25510000000
1663436357,28280000000
1663436358,32050000000
1663436359,34630000000
1663436360,36330000000
1663436361,38090000000
1663436362,40440000000
1663436362,41150000000
