t,count
1663352624,0
1663352625,0
1663352626,0
1663352627,0
1663352628,0
1663352629,0
1663352630,0
1663352631,0
1663352632,0
1663352633,0
1663352634,0
1663352635,0
1663352636,0
1663352637,0
1663352638,3131668045
1663352639,3131668045
1663352640,3131668045
1663352641,3131668045
1663352642,3131668045
1663352643,4290042901
1663352644,4360609986
1663352645,4360609986
1663352646,5171496674
1663352647,5171496674
1663352648,5893712965
1663352649,5893712965
1663352650,6642589160
1663352651,6642589160
1663352652,6642589160
1663352653,6642589160
1663352654,7635343570
1663352655,7778302001
1663352656,7810680216
1663352657,7895354077
1663352658,7895354077
1663352659,7895354077
1663352660,8536230170
1663352661,9101070635
1663352661,9101070635
